(56.670999999999999, 8.7629999999999999, 1, 1771, 'manzi')
(55.890999999999998, 8.0440000000000005, 2, 3477, 'Fabian')
(56.286999999999999, 10.494999999999999, 3, 2683, 'olneyce')
(55.933, 10.733000000000001, 4, 2040, 'RisingJaguar')
(54.271000000000001, 9.2300000000000004, 5, 4210, 'jonts26')
(52.436999999999998, 7.6559999999999997, 6, 4302, 'Ben Warden')
(52.345999999999997, 7.742, 7, 5925, 'chwhite')
(53.802, 9.8019999999999996, 8, 949, 'oddly specific')
(52.956000000000003, 8.9870000000000001, 9, 2598, 'kilua')
(51.228999999999999, 7.3730000000000002, 10, 1921, 'Brathannes')
(56.564, 13.234999999999999, 11, 510, 'The 9th Doctor')
(53.027999999999999, 9.7219999999999995, 12, 1977, 'Marin')
(50.948999999999998, 7.7990000000000004, 13, 4267, 'Rabid')
(51.313000000000002, 8.2870000000000008, 14, 7529, 'WanderingWinder')
(53.417999999999999, 10.577, 15, 2715, 'allfail')
(50.401000000000003, 7.6299999999999999, 16, 5231, 'Ptolemy I')
(50.298000000000002, 7.5359999999999996, 17, 3309, 'papaHav')
(50.518000000000001, 7.7590000000000003, 18, 4777, 'th2w0')
(50.450000000000003, 7.8529999999999998, 19, 3160, 'NinjaBus')
(52.582000000000001, 10.048999999999999, 20, 697, 'Cruton')
(49.170999999999999, 6.6399999999999997, 21, 3707, 'Suspiri')
(51.454999999999998, 9.0069999999999997, 22, 2873, 'Obi Wan Bonogi')
(51.487000000000002, 9.1280000000000001, 23, 2006, 'Geronimoo')
(50.015999999999998, 7.8860000000000001, 24, 3550, 'peetar')
(50.055, 8.4320000000000004, 25, 2296, 'eigensheep')
(50.561999999999998, 9.5419999999999998, 26, 2233, 'AVeryHappyFish')
(50.423000000000002, 9.7759999999999998, 27, 1141, 'roku')
(48.262999999999998, 7.8689999999999998, 28, 2763, 'yariv')
(48.847000000000001, 8.548, 29, 4448, 'JLock')
(50.091999999999999, 9.8140000000000001, 30, 3055, 'qmech')
(52.637999999999998, 12.361000000000001, 31, 325, 'Oni-Miko-R')
(47.633000000000003, 7.6630000000000003, 32, 3664, 'Michael Harris')
(48.328000000000003, 8.4179999999999993, 33, 3011, 'tlloyd')
(49.005000000000003, 9.125, 34, 4336, 'First')
(50.244999999999997, 10.528, 35, 896, 'shark_bait')
(47.357999999999997, 7.6459999999999999, 36, 4127, 'Tahtweasel')
(47.018999999999998, 7.3140000000000001, 37, 4093, 'Severian')
(45.926000000000002, 6.2290000000000001, 38, 4602, 'perdhapley')
(47.505000000000003, 7.9210000000000003, 39, 4341, 'Captain_Frisk')
(47.509999999999998, 8.1859999999999999, 40, 2015, 'obviated')
(49.822000000000003, 10.605, 41, 620, 'Immu91')
(48.545000000000002, 9.5229999999999997, 42, 1452, 'Empathy')
(46.787999999999997, 7.8559999999999999, 43, 2484, 'PigFiend')
(46.064, 7.1879999999999997, 44, 1545, 'Jeebus X. Cripes')
(47.137999999999998, 8.2669999999999995, 45, 4248, 'rls22')
(50.289000000000001, 11.42, 46, 2377, 'rod-')
(47.222999999999999, 8.3640000000000008, 47, 1316, 'ShuffleLuck')
(48.545000000000002, 9.9760000000000009, 48, 1148, 'stolle')
(46.662999999999997, 8.0980000000000008, 49, 4997, '!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!\xe2\x80\xa6')
(45.625, 7.0670000000000002, 50, 5548, 'dghunter79')
(45.567999999999998, 7.0519999999999996, 51, 4225, 'lespeutere')
(49.097000000000001, 10.811, 52, 2436, 'Stealth Tomato')
(46.048999999999999, 7.8220000000000001, 53, 2584, 'Big Cheesesteak')
(47.231000000000002, 9.0510000000000002, 54, 1063, 'yuuna')
(45.420999999999999, 7.3700000000000001, 55, 7859, 'Mean Mr Mustard')
(44.767000000000003, 6.7670000000000003, 56, 3201, 'Robz888')
(44.683999999999997, 6.702, 57, 7732, 'Headso')
(46.441000000000003, 8.5129999999999999, 58, 3012, 'jacobb222')
(50.003, 12.077, 59, 1426, 'bryanldoughty')
(48.847999999999999, 11.006, 60, 1301, 'adept42')
(46.975000000000001, 9.1620000000000008, 61, 1491, 'nopundittenet')
(45.959000000000003, 8.2070000000000007, 62, 3783, 'theParty')
(46.857999999999997, 9.1180000000000003, 63, 2952, 'yaron')
(49.485999999999997, 11.763, 64, 2134, 'PlatypusNinja')
(47.502000000000002, 9.8140000000000001, 65, 2023, 'Stryder515')
(46.658000000000001, 8.9710000000000001, 66, 2812, 'kn1tt3r')
(44.944000000000003, 7.2910000000000004, 67, 1170, 'O')
(43.679000000000002, 6.0650000000000004, 68, 1848, 'BJ Penn')
(50.366, 12.754, 69, 1126, 'KP-funclub')
(46.823999999999998, 9.2609999999999992, 70, 1183, 'beacher')
(46.076999999999998, 8.6280000000000001, 71, 1828, 'cybaster')
(46.625999999999998, 9.3350000000000009, 72, 2880, 'Smartie')
(46.125999999999998, 8.9339999999999993, 73, 1197, 'Fanfan')
(48.223999999999997, 11.06, 74, 2559, 'ImperialStout')
(43.991, 6.8410000000000002, 75, 7103, 'studio')
(45.369999999999997, 8.2460000000000004, 76, 4175, 'Captain Photon')
(46.192999999999998, 9.0709999999999997, 77, 1312, 'The Greasy Thumb')
(44.93, 7.9039999999999999, 78, 1430, 'MrEevee')
(45.027000000000001, 8.0510000000000002, 79, 4785, 'i miss sf')
(45.171999999999997, 8.2240000000000002, 80, 1414, 'petrie911')
(45.783000000000001, 8.8810000000000002, 81, 1770, 'powerplay')
